sort-ID,pez_ID,ID ,shelter-partner ,county,sex-status,sex,altered,female,male,age ,age-formulas,age-months,age-stages-formula,agestages,juvenile,adult,breed ,purebred,large-mix,med-mix,sm-mix,size-formula,size,wt,wt-kg,intake-date,sp-intake-date,long-fur,short-fur,furlength,ticks ,EDTA,4DX-run,lymeseropos,anaseropos,ehrseropos,rickifa,4DX-hw,sum-tbd,tbdpos,multtbd,lyme-CS,lyme-lame,lyme-abnormal-pcv ,lyme-abnormal-urine ,anaplasma-CS,anaplasma-abnormal-pcv ,anaplasma-abnormal-urine ,,ehrlichia-CS,ehlrichia-abnormal-pcv ,ehlrichia-abnormal-plt-count,E.canis_Doyle,E.ewingii_Doyle,E.chaff_Doyle,A.platys_daSilva,A.phag_Draz,B.burg_Barb,Rick_Stenos,R.rick_Kato,Sum_TBD-sero,One-TBD-sero,Multi-TBD-sero,PCR-TBD,SERO+PCR,TBD+HW,ACUTE-only
432,H432,A46152092,Jackson,Jackson,Female,Female,0,1,0,5,0.4,0.4,Puppy,Puppy,1,0,mixed breed,0,0,0,1,Small,Small,18.3,8.32,11/23/2020,11/23/2020,0,1,short,N,Y,N,NA,NA,NA,0,NA,0,0,0,,,,,,,,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
84,H84,A45263078,Lawrence,Lawrence,Female,Female,0,1,0,1 y,1,12,Adolescence,Adolescence,0,1,boxer mix,0,0,1,0,Medium,Medium,29,13.18,8/10/2020,8/3/2020,NA,NA,NA,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
127,H127,A45383327,Jackson,Jackson,Male,Male,0,0,1,1 y,1,12,Adolescence,Adolescence,0,1,boxer mix,0,1,0,0,Large,Large,46.5,21.14,8/26/2020,8/26/2020,0,1,short,N,Y,Y,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
137,H137,A45366790,Scioto,Scioto,Female,Female,0,1,0,1 y,1,1,Puppy,Puppy,0,1,hound mix,0,0,0,1,Small,Small,21.4,9.73,8/24/2020,8/20/2020,0,1,short,N,Y,N,NA,NA,NA,1,NA,1,1,0,,,,,,,,,,,,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0
154,H154,A44287576,owner surrender,Franklin,Spayed Female,Female,1,1,0,1 y,1,12,Adolescence,Adolescence,0,1,pit bull terrier mix,0,0,1,0,Medium,Medium,37,16.82,10/14/2020,10/14/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,,,,,,,,,,,,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
155,H155,A45940070,Gallia,Gallia,Female,Female,0,1,0,1 y,1,1,Puppy,Puppy,0,1,catahoula mix,0,1,0,0,Large,Large,79,35.91,10/21/2020,10/5/2020,0,1,short,N,Y,N,NA,NA,NA,0,NA,0,0,0,,,,,,,,,,,,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,NA,0
395,H395,A46305601,Jackson,Jackson,Female,Female,0,1,0,1 y,1,12,Adolescence,Adolescence,0,1,Australian shepherd mix,0,0,1,0,Medium,Medium,29,13.18,12/21/2020,12/17/2020,1,0,Long,N,Y,Y,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
73,H73,A45180036,Gallia,Gallia,Female,Female,0,1,0,1 year,1,12,Adolescence,Adolescence,0,1,Mixed breed,0,0,1,0,Medium,Medium,42,19.09,7/29/2020,7/29/2020,NA,NA,NA,N,Y,Y,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,NA,0,0,NA,0,NA,0,0,4,1,1,0,0,0,0
437,H437,A46231482,Ross,Ross,Female,Female,0,1,0,1 year,1,1,Puppy,Puppy,0,1,Lab retriever mix,0,0,1,0,Medium,Medium,42.5,19.32,12/21/2020,12/8/2020,0,1,short,N,Y,N,NA,NA,NA,0,NA,0,0,0,,,,,,,,,,,,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0
3,H3,A43840802,Lawrence,Lawrence,Male,Male,0,0,1,1 yr,1,12,Adolescence,Adolescence,0,1,mixed breed medium,0,0,1,0,Medium,Medium,40,18.18,2/17/2020,2/10/2020,0,1,short,N,Y,Y,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
