"","plot","period","effort","year","month","y_count","y_occ","newmoonnumber","ym","precip","airtemp","precip_lag1","precip_lag2","ndvi","season"
"1",1,1,49,1977,7,2,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"2",2,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"3",3,1,49,1977,7,2,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"4",4,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"5",5,1,49,1977,7,0,0,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"6",6,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"7",7,1,49,1977,7,2,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"8",8,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"9",9,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"10",10,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"11",11,1,49,1977,7,4,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"12",12,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"13",13,1,49,1977,7,2,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"14",14,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"15",15,1,49,1977,7,3,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"16",16,1,49,1977,7,0,0,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"17",17,1,49,1977,7,1,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"18",18,1,49,1977,7,4,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"19",19,1,49,1977,7,3,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"20",20,1,49,1977,7,3,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"21",21,1,49,1977,7,2,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"22",22,1,49,1977,7,3,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"23",23,1,49,1977,7,3,1,1,1977-07-01,NA,NA,NA,NA,NA,"summer"
"24",1,2,49,1977,8,0,0,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"25",2,2,49,1977,8,0,0,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"26",3,2,49,1977,8,1,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"27",4,2,49,1977,8,3,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"28",5,2,49,1977,8,2,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"29",6,2,49,1977,8,3,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"30",7,2,49,1977,8,4,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"31",8,2,49,1977,8,1,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"32",9,2,49,1977,8,0,0,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"33",10,2,49,1977,8,0,0,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"34",11,2,49,1977,8,2,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"35",12,2,49,1977,8,1,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"36",13,2,49,1977,8,5,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"37",14,2,49,1977,8,5,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"38",15,2,49,1977,8,5,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"39",16,2,49,1977,8,2,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"40",17,2,49,1977,8,3,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"41",18,2,49,1977,8,7,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"42",19,2,49,1977,8,2,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"43",20,2,49,1977,8,5,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"44",21,2,49,1977,8,3,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"45",22,2,49,1977,8,5,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"46",23,2,49,1977,8,4,1,2,1977-08-01,NA,NA,NA,NA,NA,"summer"
"47",1,3,49,1977,9,0,0,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"48",2,3,49,1977,9,2,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"49",3,3,49,1977,9,1,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"50",4,3,49,1977,9,2,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"51",5,3,49,1977,9,3,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"52",6,3,49,1977,9,3,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"53",7,3,49,1977,9,1,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"54",8,3,49,1977,9,0,0,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"55",9,3,49,1977,9,2,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"56",10,3,49,1977,9,0,0,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"57",11,3,49,1977,9,3,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"58",12,3,49,1977,9,4,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"59",13,3,49,1977,9,3,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"60",14,3,49,1977,9,4,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"61",15,3,49,1977,9,3,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"62",16,3,49,1977,9,1,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"63",17,3,49,1977,9,4,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"64",18,3,49,1977,9,1,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"65",19,3,49,1977,9,2,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"66",20,3,49,1977,9,3,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"67",21,3,49,1977,9,1,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"68",22,3,49,1977,9,2,1,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"69",23,3,49,1977,9,0,0,3,1977-09-01,NA,NA,NA,NA,NA,"fall"
"70",1,4,49,1977,10,3,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"71",2,4,49,1977,10,5,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
